Galway West;Eamon  O CuIv;M;F.F.;9539
Louth;Gerry Adams;M;S.F.;10661
Cork  East;Barbara Ahern;F;F.F.;4594
Waterford;Sheik Mohiuddin Ahmed;M;NON-P.;140
Dublin Mid West;Patrick Akpoveta;M;NON-P.;288
Tipperary;Siobhan Ambrose;F;F.F.;4472
Dublin Bay South;Chris Andrews;M;S.F.;3774
Dublin South Central;Catherine Ardagh;F;F.F.;5441
Carlow Kilkenny;Bobby Aylward;M;F.F.;9366
Dun Laoghaire;Maria Bailey;F;F.G.;10489
Longford Westmeath;James Bannon;M;F.G.;4639
Cork North Central;Mick Barry;M;AAA-PBP;8041
Cork  East;Tom Barry;M;F.G.;3461
Wicklow;Joe Behan;M;NON-P.;3070
Kildare North;Michael Beirne;M;NON-P.;372
Limerick City;Nora BenNis;F;C.D.;673
Cork South Central;Lorna Bogue;F;G.P.;2064
Meath East;Joseph Bonner;M;NON-P.;2482
Offaly;Kate Bopp;F;NON-P.;549
Dun Laoghaire;Richard Boyd Barrett;M;AAA-PBP;9775
Cork  East;Paul Bradford;M;R.I.;3244
Louth;David Bradley;M;NON-P.;319
Dublin South Central;Neville Bradley;M;D.D.I.;407
Wicklow;John Brady;M;S.F.;11151
Kerry;John Brassil;M;F.F.;8156
Louth;Declan Breathnach;M;F.F.;9099
Sligo Leitrim;Declan Bree;M;NON-P.;3250
Clare;Pat Breen;M;F.G.;6583
Wicklow;Sharon Briggs;F;AAA-PBP;1241
Dublin South West;Colm Brophy;M;F.G.;7195
Dublin Bay North;Tommy Broughan;M;I.4.C;5361
Wexford;James Browne;M;F.F.;9827
Limerick County;Seamus Browne;M;S.F.;3347
Dublin Bay North;Richard Bruton;M;F.G.;9792
Cork  East;Pat Buckley;M;S.F.;5358
Cork  East;Paddy Bullman;M;NON-P.;241
Dublin Central;Christy Burke;M;NON-P.;2406
Dublin South West;Declan Burke;M;NON-P.;515
Longford Westmeath;Peter Burke;M;F.G.;5681
Dublin West;Joan Burton;F;LAB.;6445
Waterford;Mary Butler;F;F.F.;10603
Meath West;Ray Butler;M;F.G.;4432
Cork South Central;Jerry Buttimer;M;F.G.;6419
Wexford;Aoife Byrne;F;F.F.;3164
Dublin South Central;Catherine Byrne;F;F.G.;6130
Dublin South Central;Eric Byrne;M;LAB.;3297
Wexford;Malcolm Byrne;M;F.F.;6115
Meath East;Thomas Byrne;M;F.F.;10818
Tipperary;Jackie Cahill;M;F.F.;7414
Clare;Richard Cahill;M;NON-P.;699
Cavan Monaghan;Micheal Callaghan;M;G.P.;1251
Louth;Kevin Callan;M;NON-P.;3541
Mayo;Dara Calleary;M;F.F.;9402
Galway East;Sean Canney;M;NON-P.;8447
Galway East;Ciaran Cannon;M;F.G.;7123
Cork  East;Ross Cannon;M;NON-P.;147
Clare;Joe Carey;M;F.G.;6071
Dublin North West;Cathleen Carney Boud;F;S.F.;2437
Wexford;Ger Carthy;M;NON-P.;3134
Dublin West;Dermot Casey;M;NON-P.;225
Wicklow;Pat Casey;M;F.F.;6289
Meath West;Shane Cassells;M;F.F.;10585
Sligo Leitrim;Marie Casserly;F;NON-P.;2726
Dublin West;Jack Chambers;M;F.F.;6917
Mayo;Lisa Chambers;F;F.F.;8231
Galway West;James Charity;M;NON-P.;1171
Dublin West;Tj Clare;M;NON-P.;1092
Dublin Bay North;Paul Clarke;M;NON-P.;306
Dublin Fingal;Lorraine Clifford-Lee;F;F.F.;3359
Galway West;Trevor O Clochartaigh;M;S.F.;5755
Louth;Emma Coffey;F;F.F.;3422
Waterford;Paudie Coffey;M;F.G.;7209
Cork South West;Alan Coleman;M;NON-P.;4955
Roscommon Galway;Tony Coleman;M;NON-P.;214
Clare;Clare Colleran-Molloy;F;F.F.;2639
Cork North West;aine Collins Collins;F;F.G.;6237
Dublin South Central;Joan Collins;F;I.4.C;6195
Cork South West;Michael Collins;M;NON-P.;6765
Limerick County;Niall Collins;M;F.F.;12276
Cavan Monaghan;Sean Conlan;M;NON-P.;1665
Galway East;Paul Connaughton;M;F.G.;6474
Laois;Thomasina Connell;F;F.G.;4233
Galway West;Catherine Martina Ann Connolly;F;NON-P.;4877
Galway West;John Connolly;M;F.F.;3885
Louth;Anthony Connor;M;D.D.I.;676
Dublin North West;Caroline Conroy;F;G.P.;915
Roscommon Galway;Eddie Conroy;M;AAA-PBP;982
Waterford;Ciara Conway;F;LAB.;2268
Mayo;Rose Conway-Walsh;F;S.F.;6414
Tipperary;Noel Coonan;M;F.G.;4782
Dublin Bay North;Donna Cooney;F;G.P.;1024
Dublin West;Ruth Coppinger;F;AAA-PBP;6520
Kerry;Donal Corcoran;M;R.I.;716
Offaly;Marcella Corcoran Kennedy;F;F.G.;6838
Dublin Central;Joe Costello;M;LAB.;2092
Cork South Central;Simon Coveney;M;F.G.;7965
Offaly;Barry Cowen;M;F.F.;12366
Mayo;Jerry Cowley;M;NON-P.;3479
Dublin South Central;Liam Coyne;M;S.D.;2434
Cork North West;Michael Creed;M;F.G.;8869
Dublin Bay South;Lucinda Creighton;F;R.I.;4229
Wicklow;Avril CroNin;F;F.G.;2091
Dun Laoghaire;Frank CroNin;M;R.I.;1812
Kildare North;REada CroNin;F;S.F.;3205
Kildare South;Declan Crowe;M;NON-P.;2143
Dublin South West;Sean Crowe;M;S.F.;6974
Galway West;Mike Cubbard;M;NON-P.;2122
Wicklow;JenNifer Cuffe;F;F.F.;2990
Waterford;David Cullinane;M;S.F.;9739
Dublin Mid West;John Curran;M;F.F.;6971
Roscommon Galway;Shane Curran;M;F.F.;2006
Cork  East;Ken Curtin;M;S.D.;1386
Dublin Fingal;Clare Daly;F;I.4.C;9480
Cork South West;Jim Daly;M;F.G.;7370
Wexford;Michael D''arcy;M;F.G.;7798
Dublin Rathdown;Alan Daveron;M;R.I.;1055
Galway West;Nicola Daveron;F;R.I.;994
Dublin Fingal;Dr. Marcus De Brun;M;NON-P.;627
Louth;Mark Dearey;M;G.P.;3187
Waterford;John Deasy;M;F.G.;7641
Kerry;Jimmy DeeNihan;M;F.G.;6489
Carlow Kilkenny;Pat Deering;M;F.G.;6562
Cork North West;Nigel Dennehy;M;S.F.;3238
Dublin South West;Anne-Marie Dermody;F;F.G.;6463
Dublin South Central;Maire Devine;F;S.F.;3332
Dun Laoghaire;Cormac Devlin;M;F.F.;4665
Dublin North West;Jimmy Dignam;M;W.P.;692
Tipperary;Michael Dillon;M;NON-P.;238
Donegal;Gary Doherty;M;S.F.;4136
Donegal;Pearse Doherty;M;S.F.;10300
Meath East;Regina Doherty;F;F.G.;6830
Dublin West;Paul Donnelly;M;S.F.;6034
Wicklow;Stephen Donnelly;M;S.D.;14348
Dublin Central;Paschal Donohoe;M;F.G.;3226
Clare;Timmy Dooley;M;F.F.;10215
Wicklow;Andrew Doyle;M;F.G.;6045
Wicklow;Anna Doyle;F;AAA-PBP;539
Dublin South West;Mick Duff;M;LAB.;1743
Dublin South West;Francis Noel Duffy;M;G.P.;1297
Kildare North;Ger Dunne;M;NON-P.;249
Waterford;una Dunphy;F;AAA-PBP;1646
Kildare North;Bernard Durkan;M;F.G.;6147
Cavan Monaghan;Mike Durkan;M;F.F.;2909
Wexford;John Dwyer;M;NON-P.;1265
Dublin North West;Dessie Ellis;M;S.F.;7571
Meath West;Damien English;M;F.G.;8123
Longford Westmeath;Brian Fagan;M;NON-P.;897
Galway East;Michael Fahy;M;NON-P.;2358
Roscommon Galway;Thomas Declan Fallon;M;NON-P.;75
Dublin Fingal;Alan Farrell;M;F.G.;7514
Roscommon Galway;Anne Farrell;F;R.I.;520
Mayo;Michael Patrick Farrington;M;R.I.;1574
Dublin South West;Sandra Fay;F;AAA-PBP;3241
Galway West;Patrick Feeney;M;NON-P.;22
Wicklow;Anne Ferris;F;LAB.;2634
Kerry;Martin Ferris;M;S.F.;9458
Offaly;Christopher Fettes;M;G.P.;525
Sligo Leitrim;Finbarr Filan;M;R.I.;881
Cork South Central;Mick Finn;M;NON-P.;2378
Kerry;Brian Finucane;M;AAA-PBP;981
Carlow Kilkenny;David Fitzgerald;M;F.G.;5017
Dublin Mid West;Frances Fitzgerald;F;F.G.;9028
Cork North West;Jason Fitzgerald;M;R.I.;1568
Kerry;Michael Fitzgerald;M;G.P.;1011
Kildare North;Shane Fitzgerald;M;R.I.;994
Tipperary;GearOid Fitzgibbon;M;G.P.;1341
Kerry;Mary Elizabeth Fitzgibbon;F;NON-P.;635
Roscommon Galway;Michael Fitzmaurice;M;NON-P.;9750
Offaly;Eddie Fitzpatrick;M;F.F.;3394
Dublin Central;Mary Fitzpatrick;F;F.F.;2508
Louth;Peter Fitzpatrick;M;F.G.;6408
Dublin South West;Peter Fitzpatrick;M;NON-P.;2812
Laois;Charlie Flanagan;M;F.G.;8370
Donegal;Paula Mary Flanagan;F;G.P.;428
Dublin Bay North;Terence Flanagan;M;R.I.;3205
Laois;Sean Fleming;M;F.F.;13626
Dublin Bay South;ManNix Flynn;M;NON-P.;1525
Offaly;John Foley;M;NON-P.;4200
Mayo;Sean Forkin;M;NON-P.;42
Wexford;Caroline Foxe;F;NON-P.;930
Dublin Fingal;Roslyn Fuller;F;NON-P.;772
Carlow Kilkenny;Kathleen Funchion;F;S.F.;8700
Limerick City;James Gaffney;M;G.P.;964
Sligo Leitrim;Nigel Gallagher;M;AAA-PBP;1768
Donegal;Pat The Cope Gallagher;M;F.F.;10198
Dublin Central;Gary Gannon;M;S.D.;2307
Dublin South Central;Michael Gargan;M;R.I.;893
Kerry;Henry Gaynor;M;NON-P.;147
Longford Westmeath;ConNie Gerety-Quinn;F;F.F.;3943
Dublin Central;Jacqui Gilbourne;F;R.I.;330
Carlow Kilkenny;Keith Martin Gilligan;M;NON-P.;456
Meath East;Ben Gilroy;M;D.D.I.;794
Dublin Mid West;Paul Nicholas Gogarty;M;NON-P.;2522
Meath West;Trevor Golden;M;NON-P.;1718
Dublin Central;William  D.j. Gorman;M;NON-P.;27
Dublin Bay South;William D.j. Gorman;M;NON-P.;97
Cork North Central;Thomas Gould;M;S.F.;3773
Galway West;Noel Grealish;M;NON-P.;7187
Louth;Patrick Greene;M;D.D.I.;127
Kerry;Brendan Griffin;M;F.G.;9674
Cork North West;Shirley Griffin;F;NON-P.;439
Sligo Leitrim;Des Guckian;M;NON-P.;1060
Dublin Bay North;Jimmy Guerin;M;NON-P.;756
Dublin Central;Kerry Guinan;F;NON-P.;58
Waterford;John Halligan;M;NON-P.;8306
Dun Laoghaire;Mary Hanafin;F;F.F.;6478
Dublin South Central;Paul Hand;M;NON-P.;2011
Meath East;DomiNic HanNigan;M;LAB.;2270
Offaly;Joe HanNigan;M;NON-P.;5188
Cork South West;Noel Harrington;M;F.G.;6433
Cork South Central;Joe Harris;M;NON-P.;350
Wicklow;Simon Harris;M;F.G.;10819
Donegal;Paddy Harte;M;F.G.;2831
Clare;Michael Harty;M;NON-P.;8629
Cork  East;Natasha Harty;F;G.P.;806
Dublin Bay North;Sean Haughey;M;F.F.;8007
Limerick City;Des Hayes;M;NON-P.;254
Tipperary;Tom Hayes;M;F.G.;6218
Dublin Mid West;Christopher Healy;M;D.D.I.;167
Tipperary;Seamus Healy;M;NON-P.;7452
Longford Westmeath;StephaNie Healy;F;D.D.I.;132
Galway West;Dr. Fidelma Healy Eames;F;NON-P.;1394
Kerry;Danny Healy-Rae;M;NON-P.;9991
Kerry;Michael Healy-Rae;M;NON-P.;20378
Cork South West;Theresa Heaney;F;C.D.;686
Limerick County;James Heffernan;M;S.D.;3270
Dublin Bay North;Deirdre Heney;F;F.F.;3360
Limerick City;Sarah Jane Hennelly;F;S.D.;2747
Dublin Mid West;Lorraine Hennessy;F;W.P.;502
Roscommon Galway;Miriam Hennessy;F;G.P.;286
Kildare South;Martin Heydon;M;F.G.;7851
