Carlow Kilkenny;15;5;107023;70514;505
Cavan Monaghan;15;4;90618;60248;598
Clare;16;4;83660;57407;407
Cork East;15;4;83236;53251;445
Cork North Central;14;4;81609;51690;516
Cork North West;13;3;67589;47353;395
Cork South Central;15;4;84482;56086;404
Cork South West;11;3;63583;43589;331
Donegal;16;5;117675;73957;654
Dublin Bay North;20;5;109516;74334;709
Dublin Bay South;14;4;74326;40016;313
Dublin Central;15;3;46028;23990;304
Dublin Fingal;15;5;93486;60850;462
Dublin Mid West;15;4;69388;43550;446
Dublin North West;11;3;60406;37472;463
Dublin Rathdown;9;3;62340;41325;226
Dublin South Central;13;4;74666;43551;694
Dublin South West;21;5;105420;67918;647
Dublin West;11;4;64639;42272;320
Dun Laoghaire;11;3;92248;59639;401
Galway East;10;3;68432;45617;379
Galway West;20;5;103704;64759;488
Kerry;16;5;112751;79749;476
Kildare North;14;4;77609;49226;291
Kildare South;9;3;59162;37172;386
Laois;6;3;63295;39220;352
Limerick City;11;4;75568;47118;357
Limerick County;10;3;67633;44748;336
Longford Westmeath;18;4;89241;55816;570
Louth;16;5;104696;68278;749
Mayo;16;4;92958;64246;600
Meath East;12;3;65588;41628;240
Meath West;9;3;64600;38920;315
Offaly;11;3;65636;44445;411
Roscommon Galway;12;3;64235;45995;315
Sligo Leitrim;18;4;95911;62895;560
Tipperary;13;5;112615;78594;646
Waterford;12;4;81819;52103;400
Wexford;17;5;109861;72352;691
Wicklow;16;5;97858;69400;596
