Carlow Kilkenny,Adrienne Wallace,,1,1582
Carlow Kilkenny,Adrienne Wallace,,2,1728
Carlow Kilkenny,Adrienne Wallace,,3,1769
Carlow Kilkenny,Adrienne Wallace,,4,2342
Carlow Kilkenny,Adrienne Wallace,Excluded,5,0
Carlow Kilkenny,Adrienne Wallace,Excluded,6,0
Carlow Kilkenny,Adrienne Wallace,Excluded,7,0
Carlow Kilkenny,Adrienne Wallace,Excluded,8,0
Carlow Kilkenny,Adrienne Wallace,Excluded,9,0
Carlow Kilkenny,Adrienne Wallace,Excluded,10,0
Carlow Kilkenny,Adrienne Wallace,Excluded,11,0
Galway East,Aengus Melia,,1,489
Galway East,Aengus Melia,Excluded,2,0
Galway East,Aengus Melia,Excluded,3,0
Galway East,Aengus Melia,Excluded,4,0
Galway East,Aengus Melia,Excluded,5,0
Galway East,Aengus Melia,Excluded,6,0
Galway East,Aengus Melia,Excluded,7,0
Dublin South Central,Aengus O Snodaigh,,1,6639
Dublin South Central,Aengus O Snodaigh,,2,6690
Dublin South Central,Aengus O Snodaigh,,3,6715
Dublin South Central,Aengus O Snodaigh,,4,6734
Dublin South Central,Aengus O Snodaigh,,5,6927
Dublin South Central,Aengus O Snodaigh,,6,7061
Dublin South Central,Aengus O Snodaigh,Elected,7,9566
Dublin South Central,Aengus O Snodaigh,Elected,8,8572
Dublin South Central,Aengus O Snodaigh,Elected,9,8572
Dublin South Central,Aengus O Snodaigh,Elected,10,8572
Dublin South Central,Aengus O Snodaigh,Elected,11,8572
Cork North West,Aindrias Moynihan,,1,8924
Cork North West,Aindrias Moynihan,,2,9004
Cork North West,Aindrias Moynihan,,3,9201
Cork North West,Aindrias Moynihan,,4,9367
Cork North West,Aindrias Moynihan,,5,9678
Cork North West,Aindrias Moynihan,,6,9956
Cork North West,Aindrias Moynihan,,7,10755
Cork North West,Aindrias Moynihan,,8,11141
Cork North West,Aindrias Moynihan,Elected,9,11959
Cork North West,aine Collins Collins,,1,6237
Cork North West,aine Collins Collins,,2,6297
Cork North West,aine Collins Collins,,3,6495
Cork North West,aine Collins Collins,,4,6685
Cork North West,aine Collins Collins,,5,6944
Cork North West,aine Collins Collins,,6,7191
Cork North West,aine Collins Collins,,7,7388
Cork North West,aine Collins Collins,Excluded,8,0
Cork North West,aine Collins Collins,Excluded,9,0
Meath East,Aisling O^Neill,,1,1715
Meath East,Aisling O^Neill,,2,1740
Meath East,Aisling O^Neill,,3,1801
Meath East,Aisling O^Neill,,4,1885
Meath East,Aisling O^Neill,,5,2148
Meath East,Aisling O^Neill,,6,2300
Meath East,Aisling O^Neill,,7,2463
Meath East,Aisling O^Neill,Excluded,8,0
Meath East,Aisling O^Neill,Excluded,9,0
Cork South West,Alan Coleman,,1,4955
Cork South West,Alan Coleman,,2,5272
Cork South West,Alan Coleman,,3,5634
Cork South West,Alan Coleman,,4,6405
Cork South West,Alan Coleman,Excluded,5,0
Dublin Rathdown,Alan Daveron,,1,1055
Dublin Rathdown,Alan Daveron,Excluded,2,0
Dublin Rathdown,Alan Daveron,Excluded,3,0
Dublin Rathdown,Alan Daveron,Excluded,4,0
Dublin Rathdown,Alan Daveron,Excluded,5,0
Dublin Rathdown,Alan Daveron,Excluded,6,0
Dublin Fingal,Alan Farrell,,1,7514
Dublin Fingal,Alan Farrell,,2,7563
Dublin Fingal,Alan Farrell,,3,7627
Dublin Fingal,Alan Farrell,,4,7664
Dublin Fingal,Alan Farrell,,5,7672
Dublin Fingal,Alan Farrell,,6,8082
Dublin Fingal,Alan Farrell,,7,8244
Dublin Fingal,Alan Farrell,,8,8709
Dublin Fingal,Alan Farrell,,9,8969
Dublin Fingal,Alan Farrell,Elected,10,9965
Tipperary,Alan Kelly,,1,7746
Tipperary,Alan Kelly,,2,8209
Tipperary,Alan Kelly,,3,8387
Tipperary,Alan Kelly,,4,9456
Tipperary,Alan Kelly,,5,9958
Tipperary,Alan Kelly,,6,11067
Tipperary,Alan Kelly,Elected,7,11750
Meath West,Alan Lawes,,1,1279
Meath West,Alan Lawes,,2,1310
Meath West,Alan Lawes,,3,1380
Meath West,Alan Lawes,,4,1440
Meath West,Alan Lawes,Excluded,5,0
Meath West,Alan Lawes,Excluded,6,0
Dublin Bay South,Alan Macstiofain,,1,235
Dublin Bay South,Alan Macstiofain,Excluded,2,0
Dublin Bay South,Alan Macstiofain,Excluded,3,0
Dublin Bay South,Alan Macstiofain,Excluded,4,0
Dublin Bay South,Alan Macstiofain,Excluded,5,0
Dublin Bay South,Alan Macstiofain,Excluded,6,0
Dublin Bay South,Alan Macstiofain,Excluded,7,0
Dublin Bay South,Alan Macstiofain,Excluded,8,0
Dublin Rathdown,Alan Shatter,,1,5905
Dublin Rathdown,Alan Shatter,,2,5979
Dublin Rathdown,Alan Shatter,,3,6195
Dublin Rathdown,Alan Shatter,,4,6268
Dublin Rathdown,Alan Shatter,,5,7745
Dublin Rathdown,Alan Shatter,,6,8444
Dublin Rathdown,Alex White,,1,4048
Dublin Rathdown,Alex White,,2,4080
Dublin Rathdown,Alex White,,3,4258
Dublin Rathdown,Alex White,,4,4436
Dublin Rathdown,Alex White,Excluded,5,0
Dublin Rathdown,Alex White,Excluded,6,0
Limerick County,Alexander Storey-Cosgrave,,1,311
Limerick County,Alexander Storey-Cosgrave,,2,321
Limerick County,Alexander Storey-Cosgrave,Excluded,3,0
Limerick County,Alexander Storey-Cosgrave,Excluded,4,0
Limerick County,Alexander Storey-Cosgrave,Excluded,5,0
Limerick County,Alexander Storey-Cosgrave,Excluded,6,0
Clare,Andres Siro Hakizimana,,1,70
Clare,Andres Siro Hakizimana,Excluded,2,0
Clare,Andres Siro Hakizimana,Excluded,3,0
Clare,Andres Siro Hakizimana,Excluded,4,0
Clare,Andres Siro Hakizimana,Excluded,5,0
Clare,Andres Siro Hakizimana,Excluded,6,0
Clare,Andres Siro Hakizimana,Excluded,7,0
Clare,Andres Siro Hakizimana,Excluded,8,0
Clare,Andres Siro Hakizimana,Excluded,9,0
Clare,Andres Siro Hakizimana,Excluded,10,0
Clare,Andres Siro Hakizimana,Excluded,11,0
Clare,Andres Siro Hakizimana,Excluded,12,0
Wicklow,Andrew Doyle,,1,6045
Wicklow,Andrew Doyle,,2,6227
Wicklow,Andrew Doyle,,3,6244
Wicklow,Andrew Doyle,,4,6285
Wicklow,Andrew Doyle,,5,6424
Wicklow,Andrew Doyle,,6,6466
Wicklow,Andrew Doyle,,7,7726
Wicklow,Andrew Doyle,,8,7961
Wicklow,Andrew Doyle,,9,9652
Wicklow,Andrew Doyle,Elected,10,10394
Dublin North West,Andrew Keegan,,1,1434
Dublin North West,Andrew Keegan,,2,1603
Dublin North West,Andrew Keegan,,3,1865
Dublin North West,Andrew Keegan,,4,2067
Dublin North West,Andrew Keegan,,5,2525
Dublin North West,Andrew Keegan,Excluded,6,0
Dublin North West,Andrew Keegan,Excluded,7,0
Dublin North West,Andrew Keegan,Excluded,8,0
Dublin North West,Andrew Keegan,Excluded,9,0
Clare,Ann Norton,,1,2240
Clare,Ann Norton,,2,2321
Clare,Ann Norton,,3,2442
Clare,Ann Norton,,4,2521
Clare,Ann Norton,,5,2686
Clare,Ann Norton,,6,2982
Clare,Ann Norton,,7,3152
Clare,Ann Norton,,8,3205
Clare,Ann Norton,Excluded,9,0
Clare,Ann Norton,Excluded,10,0
Clare,Ann Norton,Excluded,11,0
Clare,Ann Norton,Excluded,12,0
Carlow Kilkenny,Ann Phelan,,1,4391
Carlow Kilkenny,Ann Phelan,,2,4396
Carlow Kilkenny,Ann Phelan,,3,4442
Carlow Kilkenny,Ann Phelan,,4,4465
Carlow Kilkenny,Ann Phelan,,5,4548
Carlow Kilkenny,Ann Phelan,,6,4740
Carlow Kilkenny,Ann Phelan,,7,5566
Carlow Kilkenny,Ann Phelan,,8,5596
Carlow Kilkenny,Ann Phelan,Excluded,9,0
Carlow Kilkenny,Ann Phelan,Excluded,10,0
Carlow Kilkenny,Ann Phelan,Excluded,11,0
Wexford,Ann Walsh,,1,1056
Wexford,Ann Walsh,,2,1064
Wexford,Ann Walsh,,3,1093
Wexford,Ann Walsh,Excluded,4,0
Wexford,Ann Walsh,Excluded,5,0
Wexford,Ann Walsh,Excluded,6,0
Wexford,Ann Walsh,Excluded,7,0
Wexford,Ann Walsh,Excluded,8,0
Wexford,Ann Walsh,Excluded,9,0
Wexford,Ann Walsh,Excluded,10,0
Wexford,Ann Walsh,Excluded,11,0
Wexford,Ann Walsh,Excluded,12,0
Wexford,Ann Walsh,Excluded,13,0
Wexford,Ann Walsh,Excluded,14,0
Wicklow,Anna Doyle,,1,539
Wicklow,Anna Doyle,,2,612
Wicklow,Anna Doyle,,3,655
Wicklow,Anna Doyle,Excluded,4,0
Wicklow,Anna Doyle,Excluded,5,0
Wicklow,Anna Doyle,Excluded,6,0
Wicklow,Anna Doyle,Excluded,7,0
Wicklow,Anna Doyle,Excluded,8,0
Wicklow,Anna Doyle,Excluded,9,0
Wicklow,Anna Doyle,Excluded,10,0
Roscommon Galway,Anne Farrell,,1,520
Roscommon Galway,Anne Farrell,,2,577
Roscommon Galway,Anne Farrell,,3,580
