"Population and Actual and Percentage Change 2011 to 2016 by Electoral Division, CensusYear and Statistic ",,,,,,,
,,,,,,,
,,,,,,,
 , ,Population - 2011 (Number),Population - 2016 (Number),Males - 2016 (Number),Females - 2016 (Number),Actual change 2011-2016 (Number),Percentage change 2011-2016 (%)
2016,,,,,,,
 ,State,4588252,4757976,2352240,2405736,169724,3.7
 ,Leinster,2504814,2630720,1295533,1335187,125906,5
 ,Carlow,54612,56875,28472,28403,2263,4.1
 ,"Carlow Town, Co. Carlow",13698,14473,7222,7251,775,5.7
 ,"001 Carlow Urban, Co. Carlow",4181,4573,2370,2203,392,9.4
 ,"002 Graigue Urban, Co. Carlow",1272,1432,722,710,160,12.6
 ,"012 Ballinacarrig (Part Urban), Co. Carlow",2,0,0,0,-2,-100
 ,"019 Carlow Rural (Part Urban), Co Carlow",8243,8468,4130,4338,225,2.7
 ,"Baltinglass No. 2 rural area, Co. Carlow",4372,4501,2258,2243,129,3
 ,"003 Clonmore, Co. Carlow",560,527,261,266,-33,-5.9
 ,"004 Hacketstown, Co. Carlow",1091,1116,595,521,25,2.3
 ,"005 Haroldstown, Co. Carlow",259,291,140,151,32,12.4
 ,"006 Kineagh, Co. Carlow",327,350,163,187,23,7
 ,"007 Rahill, Co. Carlow",662,727,347,380,65,9.8
 ,"008 Rathvilly, Co. Carlow",838,876,426,450,38,4.5
 ,"009 Tiknock, Co. Carlow",338,331,180,151,-7,-2.1
 ,"010 Williamstown, Co. Carlow",297,283,146,137,-14,-4.7
 ,"Carlow rural area, Co. Carlow",34307,35668,17845,17823,1361,4
 ,"011 Agha, Co. Carlow",382,394,205,189,12,3.1
 ,"012 Ballinacarrig (Part Rural), Co. Carlow",1003,1048,501,547,45,4.5
 ,"013 Ballintemple, Co. Carlow",559,566,281,285,7,1.3
 ,"014 Ballon, Co. Carlow",710,714,365,349,4,0.6
 ,"015 Ballyellin, Co. Carlow",427,425,209,216,-2,-0.5
 ,"016 Ballymoon, Co. Carlow",329,343,179,164,14,4.3
 ,"017 Borris, Co. Carlow",1041,1048,500,548,7,0.7
 ,"018 Burton Hall, Co. Carlow",465,526,267,259,61,13.1
 ,"019 Carlow Rural (Part Rural), Co. Carlow",5704,6076,3007,3069,372,6.5
 ,"020 Clogrenan, Co. Carlow",996,1042,529,513,46,4.6
 ,"021 Clonegall, Co. Carlow",978,998,475,523,20,2
 ,"022 Corries, Co. Carlow",532,539,279,260,7,1.3
 ,"023 Cranemore, Co. Carlow",1067,1094,575,519,27,2.5
 ,"024 Fennagh, Co. Carlow",736,783,389,394,47,6.4
 ,"025 Garryhill, Co. Carlow",589,580,300,280,-9,-1.5
 ,"026 Grangeford, Co. Carlow",424,464,229,235,40,9.4
 ,"027 Johnstown, Co. Carlow",569,588,283,305,19,3.3
 ,"028 Kellistown, Co. Carlow",1001,974,494,480,-27,-2.7
 ,"029 Kilbride, Co. Carlow",449,439,233,206,-10,-2.2
 ,"030 Killedmond, Co. Carlow",424,408,216,192,-16,-3.8
 ,"031 Killerrig, Co. Carlow",359,370,188,182,11,3.1
 ,"032 Leighlinbridge, Co. Carlow",1558,1641,842,799,83,5.3
 ,"033 Muinebeag (Bagenalstown) Rural, Co. Carlow",646,653,333,320,7,1.1
 ,"034 Muinebeag (Bagenalstown) Urban, Co. Carlow",2775,2749,1403,1346,-26,-0.9
 ,"035 Myshall, Co. Carlow",606,589,289,300,-17,-2.8
 ,"036 Nurney, Co. Carlow",867,853,446,407,-14,-1.6
 ,"037 Oldleighlin, Co. Carlow",569,568,286,282,-1,-0.2
 ,"038 Rathanna, Co. Carlow",114,111,62,49,-3,-2.6
 ,"039 Rathornan, Co. Carlow",432,446,213,233,14,3.2
 ,"040 Rathrush, Co. Carlow",1101,1098,551,547,-3,-0.3
 ,"041 Ridge, Co. Carlow",273,300,152,148,27,9.9
 ,"042 Shangarry, Co. Carlow",525,515,274,241,-10,-1.9
 ,"043 Sliguff, Co. Carlow",527,506,263,243,-21,-4
 ,"044 Tankardstown, Co. Carlow",438,433,210,223,-5,-1.1
 ,"045 Templepeter, Co. Carlow",434,419,208,211,-15,-3.5
 ,"046 Tullowbeg, Co. Carlow",582,622,318,304,40,6.9
 ,"047 Tullow Rural, Co. Carlow",702,847,412,435,145,20.7
 ,"048 Tullow Urban, Co. Carlow",3414,3899,1879,2020,485,14.2
 ,"Idrone rural area, Co. Carlow",2235,2233,1147,1086,-2,-0.1
 ,"049 Ballymurphy, Co. Carlow",279,275,142,133,-4,-1.4
 ,"050 Coonogue, Co. Carlow",206,209,110,99,3,1.5
 ,"051 Glynn, Co. Carlow",365,379,189,190,14,3.8
 ,"052 Kyle, Co. Carlow",341,322,162,160,-19,-5.6
 ,"053 Marley, Co. Carlow",367,401,213,188,34,9.3
 ,"054 Tinnahinch, Co. Carlow",677,647,331,316,-30,-4.4
 ,Dublin,1273069,1345402,657190,688212,72333,5.7
 ,Dublin City,527612,553165,271436,281729,25553,4.8
 ,Dublin City North,307495,325002,159357,165645,17507,5.7
 ,"001 Arran Quay A, Dublin City",1555,1773,901,872,218,14
 ,"002 Arran Quay B, Dublin City",3861,4155,2182,1973,294,7.6
 ,"003 Arran Quay C, Dublin City",4170,4449,2387,2062,279,6.7
 ,"004 Arran Quay D, Dublin City",3218,3888,1954,1934,670,20.8
 ,"005 Arran Quay E, Dublin City",3037,3289,1636,1653,252,8.3
 ,"006 Ashtown A, Dublin City",10227,10545,5192,5353,318,3.1
 ,"007 Ashtown B, Dublin City",2560,2640,1248,1392,80,3.1
 ,"008 Ayrfield, Dublin City",5395,5617,2732,2885,222,4.1
 ,"009 Ballybough A, Dublin City",3482,3672,1818,1854,190,5.5
 ,"010 Ballybough B, Dublin City",3349,3709,1943,1766,360,10.7
 ,"011 Ballygall A, Dublin City",3442,3621,1759,1862,179,5.2
 ,"012 Ballygall B, Dublin City",1805,1871,846,1025,66,3.7
 ,"013 Ballygall C, Dublin City",3419,3502,1678,1824,83,2.4
 ,"014 Ballygall D, Dublin City",2494,2515,1207,1308,21,0.8
 ,"015 Ballymun A, Dublin City",3678,4720,2305,2415,1042,28.3
 ,"016 Ballymun B, Dublin City",4012,4340,2082,2258,328,8.2
 ,"017 Ballymun C, Dublin City",5585,6092,2932,3160,507,9.1
 ,"018 Ballymun D, Dublin City",2961,2423,1189,1234,-538,-18.2
 ,"019 Ballymun E, Dublin City",1582,1573,707,866,-9,-0.6
 ,"020 Ballymun F, Dublin City",2323,2355,1132,1223,32,1.4
 ,"021 Beaumont A, Dublin City",2467,2438,1147,1291,-29,-1.2
 ,"022 Beaumont B, Dublin City",4805,4962,2371,2591,157,3.3
 ,"023 Beaumont C, Dublin City",3106,3238,1557,1681,132,4.2
 ,"024 Beaumont D, Dublin City",2149,2130,1074,1056,-19,-0.9
 ,"025 Beaumont E, Dublin City",2001,2033,990,1043,32,1.6
 ,"026 Beaumont F, Dublin City",3437,3590,1733,1857,153,4.5
 ,"027 Botanic A, Dublin City",3084,3125,1420,1705,41,1.3
 ,"028 Botanic B, Dublin City",3264,3526,1686,1840,262,8
 ,"029 Botanic C, Dublin City",1967,2196,1105,1091,229,11.6
 ,"030 Cabra East A, Dublin City",5163,5477,2776,2701,314,6.1
 ,"031 Cabra East B, Dublin City",3512,3725,1755,1970,213,6.1
 ,"032 Cabra East C, Dublin City",3631,4131,2093,2038,500,13.8
 ,"033 Cabra West A, Dublin City",1478,1483,729,754,5,0.3
 ,"034 Cabra West B, Dublin City",2513,2466,1202,1264,-47,-1.9
 ,"035 Cabra West C, Dublin City",2699,2958,1448,1510,259,9.6
 ,"036 Cabra West D, Dublin City",2725,2849,1434,1415,124,4.6
 ,"037 Clontarf East A, Dublin City",3301,3436,1645,1791,135,4.1
 ,"038 Clontarf East B, Dublin City",6759,7115,3400,3715,356,5.3
 ,"039 Clontarf East C, Dublin City",3113,3187,1492,1695,74,2.4
 ,"040 Clontarf East D, Dublin City",2673,2710,1275,1435,37,1.4
 ,"041 Clontarf East E, Dublin City",1675,1792,827,965,117,7
 ,"042 Clontarf West A, Dublin City",3436,3742,1787,1955,306,8.9
 ,"043 Clontarf West B, Dublin City",2316,2421,1152,1269,105,4.5
 ,"044 Clontarf West C, Dublin City",3366,3637,1792,1845,271,8.1
 ,"045 Clontarf West D, Dublin City",2066,2303,1149,1154,237,11.5
 ,"046 Clontarf West E, Dublin City",2324,2470,1169,1301,146,6.3
 ,"047 Drumcondra South A, Dublin City",4571,5100,2449,2651,529,11.6
 ,"048 Drumcondra South B, Dublin City",1526,1694,855,839,168,11
 ,"049 Drumcondra South C, Dublin City",3191,3533,1621,1912,342,10.7
 ,"050 Edenmore, Dublin City",2725,2838,1330,1508,113,4.1
 ,"051 Finglas North A, Dublin City",3227,3324,1585,1739,97,3
 ,"052 Finglas North B, Dublin City",2809,2867,1378,1489,58,2.1
 ,"053 Finglas North C, Dublin City",3247,3445,1682,1763,198,6.1
 ,"054 Finglas South A, Dublin City",2783,2878,1385,1493,95,3.4
 ,"055 Finglas South B, Dublin City",3868,4205,2006,2199,337,8.7
 ,"056 Finglas South C, Dublin City",2507,2674,1308,1366,167,6.7
 ,"057 Finglas South D, Dublin City",2311,2430,1155,1275,119,5.1
 ,"058 Grace Park, Dublin City",5670,5801,2756,3045,131,2.3
 ,"059 Grange A, Dublin City",8948,9673,4748,4925,725,8.1
 ,"060 Grange B, Dublin City",4565,5336,2573,2763,771,16.9
 ,"061 Grange C, Dublin City",3048,3084,1498,1586,36,1.2
 ,"062 Grange D, Dublin City",4105,4008,1949,2059,-97,-2.4
 ,"063 Grange E, Dublin City",2580,2677,1314,1363,97,3.8
 ,"064 Harmonstown A, Dublin City",2722,2811,1334,1477,89,3.3
 ,"065 Harmonstown B, Dublin City",2684,2760,1360,1400,76,2.8
 ,"066 Inns Quay A, Dublin City",3951,3920,2201,1719,-31,-0.8
 ,"067 Inns Quay B, Dublin City",3368,3638,1905,1733,270,8
 ,"068 Inns Quay C, Dublin City",2709,2715,1352,1363,6,0.2
 ,"069 Kilmore A, Dublin City",3505,3656,1763,1893,151,4.3
 ,"070 Kilmore B, Dublin City",2600,2636,1250,1386,36,1.4
 ,"071 Kilmore C, Dublin City",1415,1490,720,770,75,5.3
 ,"072 Kilmore D, Dublin City",2082,2034,982,1052,-48,-2.3
 ,"073 Mountjoy A, Dublin City",5326,5313,2725,2588,-13,-0.2
 ,"074 Mountjoy B, Dublin City",2732,3954,2124,1830,1222,44.7
 ,"075 North City, Dublin City",5345,5441,2826,2615,96,1.8
 ,"076 North Dock A, Dublin City",1303,1356,726,630,53,4.1
 ,"077 North Dock B, Dublin City",6895,7768,4148,3620,873,12.7
 ,"078 North Dock C, Dublin City",4345,4162,2120,2042,-183,-4.2
 ,"079 Phoenix Park, Dublin City",1538,1528,754,774,-10,-0.7
