CANDIDATES FOR LOCAL ELECTIONS 2004,,,,,,,,,,,,
Local Electoral Area,Last Name,Party,Full Name,Address ,Occupation,Passes,,,,,,
Artane,Bourke,The Labour Party,Paddy Bourke,Dublin 5,CE Supervisor,,,,,,,
Artane,Browne,Socialist Workers' Party (S.W.P.),Ritchie Browne,Dublin 5,Aircraft Engineer,,,,,,,
Artane,Flanagan,Fine Gael,Terence Flanagan,Dublin 5,Financial Accountant,,,,,,,
Artane,Herbert,Green Party/Comhaontas Glas,Simon Herbert,Dublin 5,Company Director,,,,,,,
Artane,Mahon,Fianna Fáil,Seán Paul Mahon,Dublin 5,City Councillor/Self-employed,,,,,,,
Artane,O'Toole,Sinn Féin,Larry O'Toole,Dublin 17,Full Time Public Representative,,,,,,,
Artane,Seery,The Labour Party,Sinéad Seery,Dublin 5,IT Consultant,,,,,,,
Artane,Sullivan,Fine Gael,Dan Sullivan,Dublin 9,IT Contractor,,,,,,,
Artane,Taylor,Fianna Fáil,Brian Taylor,Dublin 9,Self-employed (Computer Industry),,,,,,,
Ballyfermot,Conaghan,The Labour Party,Michael Conaghan,Dublin 10,Schoolteacher/Alderman,,,,,,,
Ballyfermot,Doyle,Progressive Democrats,Ben Doyle,Dublin 10,Regional Manager,,,,,,,
Ballyfermot,Jackson,Non-party,Vincent Jackson,Dublin 10,Youth Worker/Public Representative,,,,,,,
Ballyfermot,McGennis,Fianna Fáil,Marian McGennis,Dublin 15,Clerical Officer/City Councillor,,,,,,,
Ballyfermot,McGuinness,The Workers' Party,Andrew McGuinness,Dublin 12,Construction Worker,,,,,,,
Ballyfermot,Ní Bhroin,Green Party/Comhaontas Glas,Sinéad Ní Bhroin,Dublin 8,Consultant,,,,,,,
Ballyfermot,O'Neill,Fine Gael,Peter O'Neill,Dublin 12,Social Worker,,,,,,,
Ballyfermot,Smith,Socialist Workers' Party (S.W.P.),Bríd Smith,Dublin 10,Carer,,,,,,,
Ballyfermot,Smithers,Sinn Féin,Tony Smithers,Co Dublin,Taxi Driver,,,,,,,
Ballymun/Whitehall,Brady,Fine Gael,Brendan Brady,Dublin 9,Civil Engineer,,,,,,,
Ballymun/Whitehall,Carmichael,Fianna Fáil,Julia Carmichael,Dublin 9,Risk Manager,,,,,,,
Ballymun/Whitehall,Corcoran,Sinn Féin,Ray Corcoran,Ballymun,Youth Worker,,,,,,,
Ballymun/Whitehall,Dunne,The Workers' Party,John Dunne,Dublin 11,Trade Union Official,,,,,,,
Ballymun/Whitehall,Gallogly,Fianna Fáil,Sheila Gallogly,Dublin 9,Public Representative/Chartered Accountant,,,,,,,
Ballymun/Whitehall,Hamilton,Green Party/Comhaontas Glas,Dermot Hamilton,Rush,Business Development Manager,,,,,,,
Ballymun/Whitehall,Johnston,Fianna Fáil,Pádraig Johnston,Dublin 9,Aer Rianta employee/Peace Commissioner,,,,,,,
Ballymun/Whitehall,Montague,The Labour Party,Andrew Montague,Dublin 9,Website Designer,,,,,,,
Ballymun/Whitehall,O'Brien,The Labour Party,Eamonn O'Brien,Dublin 11,Public Representative,,,,,,,
Ballymun/Whitehall,Wingfield,Socialist Workers' Party (S.W.P.),Kevin Wingfield,Dublin 11,,,,,,,,
Cabra/Glasnevin,Ahern,Fianna Fáil,Maurice Ahern,Dublin 9,Self-employed/Public Representative,,,,,,,
Cabra/Glasnevin,Carr,The Labour Party,Brendan Carr,Dublin 7,Trade Union Official/Councillor,,,,,,,
Cabra/Glasnevin,Donohoe,Fine Gael,Paschal Donohoe,Dublin 7,Sales Manager,,,,,,,
Cabra/Glasnevin,Fitzpatrick,Fianna Fáil,Mary Fitzpatrick,Dublin 9,Marketing Director/Public Representative,,,,,,,
Cabra/Glasnevin,Giblin,Fine Gael,Chris Giblin,Dublin 9,Public Representative,,,,,,,
Cabra/Glasnevin,Gibney,The Labour Party,Fintan Gibney,Dublin 9,Knowledge Analyst,,,,,,,
Cabra/Glasnevin,Kehoe,Sinn Féin,Nicky Kehoe,Dublin 7,City Councillor,,,,,,,
Cabra/Glasnevin,Ní Ghabhann,Sinn Féin,Áine Ní Ghabhann,Dublin 11,Post Office Clerk,,,,,,,
Cabra/Glasnevin,Perry,Non-party,Cieran Perry,Dublin 7,Computer Technician,,,,,,,
Cabra/Glasnevin,Simpson,Green Party/Comhaontas Glas,Tom Simpson,Dublin 9,Career Guidance Instructor,,,,,,,
Cabra/Glasnevin,Stephens,Fianna Fáil,John Stephens,Dublin 7,Hospital Administrator,,,,,,,
Cabra/Glasnevin,Talbot,,Pat Talbot,Dublin 7,Postman,,,,,,,
Clontarf,Breen,Fine Gael,Gerry Breen,Dublin 3,Company Director/Public Representative,,,,,,,
Clontarf,Byrne,Fianna Fáil,"
Éibhlin Byrne",Dublin 3,City Councillor/Homeless Charity Employee,,,,,,,
